Reaction,S1K,S1K_FC5,fc,pval,subSystem
CYTD,15.9933405,181.82242,0.838300639,0,Pyrimidine catabolism
CYTK10,147.5108,-34.403873,-1.608342522,0,Nucleotide interconversion
CYTK12,125.233284,-183.14377,-5.325065835,0,Nucleotide interconversion
CYTK13n,-134.35345,145.42949,25.26020476,0,Nucleotide interconversion
CYTK3,179.34329,-209.36374,-12.9480761,0,Nucleotide interconversion
CYTK3n,8.627617,448.3812,0.962243109,0,Nucleotide interconversion
CYTK6,678.7812,-31.464203,-1.097214197,0,Nucleotide interconversion
CYTK7,-473.5428,107.24979,1.585595637,0,Nucleotide interconversion
CYTK7n,-38.31633,674.20447,1.120512793,0,Nucleotide interconversion
CYTK8,-291.7412,310.92258,31.41927238,0,Nucleotide interconversion
CYTK8n,57.86048,-824.0028,-1.1510437,0,Nucleotide interconversion
DAGt,72.75058,-102.07562,-5.961669457,0,"Transport, extracellular"
DCK2n,43.169228,-12.686558,-1.832378454,0,Nucleotide interconversion
DCSPTN1COAtx,0.64295423,-5.0898566,-1.289169507,0,"Transport, peroxisomal"
DGSNt,137.221,-540.043,-1.681298349,0,"Transport, extracellular"
DHORD9,269.98907,6.261841,-0.954665556,0,Pyrimidine synthesis
DIDPtn,564.87244,-60.65495,-1.240590412,0,"Transport, nuclear"
DINt,-28.459518,-395.26086,-0.865668394,0,"Transport, extracellular"
DITPtn,-564.87244,60.65495,1.240590412,0,"Transport, nuclear"
DTDPtn,-60.41498,484.88724,1.284659267,0,"Transport, nuclear"
DTTPtn,60.41498,-484.88724,-1.284659267,0,"Transport, nuclear"
DURAD2,592.5061,-18.406237,-1.064122067,0,Pyrimidine catabolism
ELAIDCPT1,9.897096,242.4474,0.921558853,0,Fatty acid oxidation
ELAIDCPT2,10.724576,242.91847,0.915435686,0,Fatty acid oxidation
ELAIDt,2.819739,-428.1526,-1.013258976,0,"Transport, extracellular"
ESTRONESt,147.97997,-514.58417,-1.807300974,0,"Transport, extracellular"
ESTRONESt2,5.4266315,164.67789,0.936196503,0,"Transport, extracellular"
EX_34dhoxpeg[e],-19.411505,156.87466,1.282424828,0,Exchange/demand reaction
EX_34dhphe[e],-147.08696,3.8173692,1.053289314,0,Exchange/demand reaction
EX_atp[e],-68.871124,194.31499,2.098038909,0,Exchange/demand reaction
EX_bhb[e],-0.31603512,68.82753,1.009225754,0,Exchange/demand reaction
EX_elaid[e],2.060452,430.59436,0.990475308,0,Exchange/demand reaction
EX_gd1c_hs[e],0.34468728,-1.0876116,-1.927920481,0,Exchange/demand reaction
EX_i[e],22.9336,-107.27508,-1.543827358,0,Exchange/demand reaction
EX_ksi[e],-12.354422,-672.64325,-0.963928574,0,Exchange/demand reaction
EX_ksi_deg1[e],10.9071455,671.11005,0.968015043,0,Exchange/demand reaction
EX_retn[e],230.56058,-30.014368,-1.299326242,0,Exchange/demand reaction
EX_s2l2fn2m2masn[e],-108.66125,-1.4136951,0.974313953,0,Exchange/demand reaction
EX_thym[e],128.83159,-64.47261,-3.003531009,0,Exchange/demand reaction
EX_tsul[e],6.077774,89.477615,0.872790543,0,Exchange/demand reaction
