Reaction,fc,pval,Clus,Disp,subSystem
DURAD,-0.6386365475847915,0,-4.701430988904068,-21.319080811509547,Pyrimidine catabolism
DURIK1,0.46998392349426804,0,187.0073873385668,518.6594617557525,Nucleotide interconversion
DUTPDPm,0.49591538639879795,0,2.745860469705205,8.148582231446335,Nucleotide interconversion
ECOAH12m,-0.41251882425287106,0,52.06824904266894,21.65572284168396,"Valine, leucine, and isoleucine metabolism"
ECOAH1x,0.37860448705761995,0,-18.70569099183695,-8.431448292775185,Tryptophan metabolism
EICOSTETCPT1,0.3303944576254921,0,4.576079022640728,9.09190528469747,Fatty acid oxidation
EICOSTETCPT2,0.3303944576254921,0,4.576079022640728,9.09190528469747,Fatty acid oxidation
EICOSTETCRNt,3.375298757883522,0,-173.28204230453372,319.1854085479736,Fatty acid oxidation
ELAIDCPT1,0.7555960390623591,0,28.631197392838637,205.66285645961761,Fatty acid oxidation
ELAIDCPT2,1.1967411824353749,0,-12.49626311303802,139.52877311782837,Fatty acid oxidation
ESTRADIOLGLCt,-0.531645389670545,0,-2.637848852176682,-8.626474350796116,"Transport, extracellular"
ESTRADIOLGLCt2,-0.37394446242595575,0,4.20061246626715,1.9140633174252757,"Transport, extracellular"
ESTRADIOLGLCtr,-0.5233711442896342,0,-2.086317605407568,-6.668156994323193,"Transport, endoplasmic reticular"
ESTRONESt,1,-12.931297709923664,-188.21266239942537,NA,"Transport, extracellular"
ETF,-0.3684964837954236,0,2.7986185722459793,1.2914446546381966,Fatty acid oxidation
ETFQO,-0.3684964837954236,0,2.7986185722459793,1.2914446546381966,Fatty acid oxidation
ETHAK,-0.3798572229563837,0,16.491596077702287,7.411740881129686,Glycerophospholipid metabolism
ETOHMO,-0.4924294582747893,0,10.568824516810789,3.5944238139050664,Glycolysis/gluconeogenesis
EX_13_cis_retnglc[e],-0.5789909768752816,0,32.67840532270213,8.713098240377787,Exchange/demand reaction
EX_2425dhvitd2[e],-0.39840497262424274,0,2.5942284727584743,1.116039330265928,Exchange/demand reaction
EX_2hb[e],-1.133482903073827,0,175.05622691588775,-10.952519627046064,Exchange/demand reaction
EX_34dhphe[e],-0.9507756498111752,0,-1.5479611801156687,-61.346162324925515,Exchange/demand reaction
EX_3aib[e],0.5738938930120886,0,15.718532752171892,58.05901933824122,Exchange/demand reaction
EX_5adtststerone[e],0.9130369285201869,0,-411.22100825018885,-18.69333592118615,Exchange/demand reaction
EX_5thf[e],1,-12.980842911877394,-500.99361884765625,NA,Exchange/demand reaction
EX_ach[e],-1,-13.03076923076923,418.6796288337708,NA,Exchange/demand reaction
EX_adrn[e],-0.515964880814878,0,1.85616043204483,0.5926567609327361,Exchange/demand reaction
EX_adrnl[e],-0.9177941736301127,0,110.42946366806142,4.733534725070716,Exchange/demand reaction
EX_amp[e],0.39049556900032234,0,308.0528322941065,702.7776608947754,Exchange/demand reaction
EX_antipyrene[e],-0.5015767605014693,0,-7.483945537642375,-22.546538374673016,Exchange/demand reaction
EX_apnnox[e],-0.6252608654535656,0,12.932074728102288,2.9817702465545057,Exchange/demand reaction
EX_appnn[e],0.6252608654536006,0,-12.932074728103773,-2.9817702465545057,Exchange/demand reaction
EX_ascb_L[e],-1,-13.08108108108108,605.8974536247254,NA,Exchange/demand reaction
EX_atp[e],0.8072345425073727,0,-849.7475743530273,-90.63681335802227,Exchange/demand reaction
